Institute,Course,Branch/Subject,No. of seats,Course Duration (In Months),Examination Pattern,Annual Tuition Fees,Annual Total Fees,Eligibility Criteria,Additional Criteria,SII Institute Link
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Aerospace Engineering,21,48,semester,USD 9200,USD 10700,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Chemical Engineering,21,48,semester,USD 9200,USD 10700,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Civil Engineering,21,48,semester,USD 9200,USD 10700,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Computer Science and Engineering,27,48,semester,USD 9500,USD 10850,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score And 10+2 in Mathematics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Computer Science and Engineering with Specialization in Artificial Intelligence,27,48,semester,USD 8600,USD 9950,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,21,48,semester,USD 7200,USD 8550,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,21,48,semester,USD 8000,USD 9350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Amrita Vishwa Vidyapeetham,Bachelor of Technology (B.Tech),Mechanical Engineering,21,48,semester,USD 8000,USD 9350,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0086#Section2
Andhra University,Bachelor of Technology (B.Tech),Biotechnology,5,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Biology (PCB) with minimum 60% score And 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Chemical Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Civil Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Computer Science and Engineering,20,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
